empresa,estado
Carrefour Comércio e Indústria Ltda.,SP
Assaí Atacadista,SP
GPA,SP
Grupo Pereira,SP
Cencosud Brasil Comercial Ltda.,SP
Plurix,SP
Tenda Atacado S.A.,SP
Savegnago Supermercados Ltda.,SP
Sonda Supermercados Exportação e Importação S.A.,SP
Comercial Zaragoza Imp. Exp. Ltda.,SP
Roldão Auto Serviço Comércio de Alimentos Ltda.,SP
Pague Menos Com. de Prod. Alim. Ltda.,SP
Tauste Supermercados Ltda.,SP
Jad Zogheib e Cia. Ltda.,SP
Dia Brasil Sociedade Ltda.,SP
Coop Cooperativa de Consumo,SP
Silva e Barbosa Comércio de Alimentos Ltda.,SP
AM PM Comestíveis Ltda.,SP
Supermercados Cavicchiolli Ltda.,SP
Covabra Supermercados Ltda.,SP
Supermercados Irmãos Lopes S.A.,SP
Lopes Supermercados Ltda.,SP
D’Avó Supermercados Ltda.,SP
Hortus Comércio de Alimentos Ltda.,SP
Mercearia Chama Ltda.,SP
Supermercado São Roque Ltda.,SP
Trimais Supermercados S.A.,SP
Rede de Distribuição Zeferino Ltda.,SP
Higa Produtos Alimentícios Ltda.,SP
Supermercado Porecatu Ltda.,SP
Andorinha Supermercado Ltda.,SP
Supermercado Iquegami Ltda.,SP
Supermercado Tibúrcio de Souza Ltda.,SP
Comercial Oswaldo Cruz Ltda.,SP
Supermercado Delta Max Ltda.,SP
Comercial Villa Simpatia Ltda.,SP
Cofesa Comercial Ferreira Santos Ltda.,SP
Mix Vali Comércio de Produtos Alimentícios Ltda.,SP
Rede Plus Supermercados Ltda.,SP
Supermercados Gricki Ltda.,SP
Fonseca Supermercados Ltda.,SP
Supermercados Mialich Ltda.,SP
Serrano Auto Serviço Ltda.,SP
Comercial Sakashita de Supermercados Ltda.,SP
Supermercado Veran Ltda.,SP
Supermercado Big Compra Ltda.,SP
A. A. de Melo & Cia Ltda.,SP
Supermercado e Restaurante JVA Eireli,SP
Jose Carlos Nori & Cia Ltda.,SP
Dias Pastorinho S.A. Comércio e Indústria,SP
Supermercado Estrela de Regente Feijó Ltda.,SP
Cooperativa de Consumo Popular de Cerquilho,SP
S.S. Comércio de Alimentos Ltda.,SP
Supermercados BH Comércio de Alimentos S.A.,MG
Mart Minas Atacado e Varejo & Dom Atacadista,MG
DMA Distribuidora S.A.,MG
Grupo ABC,MG
Grupo Supernosso,MG
Supermercado Bahamas S.A.,MG
Cema Central Mineira Atacadista Ltda. (Villefort),MG
Organizações Verdemar Ltda.,MG
Supermercado Super Luna S.A.,MG
Luiz Tonin Atacadista e Supermercado S.A.,MG
M.N Supermercados Ltda.,MG
Maglioni Ribeiro e Cia. Ltda.,MG
Supermercado Bernardão Ltda.,MG
Casa Rena S.A.,MG
Big Mais Supermercado Ltda.,MG
Supermercado Eskynão Ltda.,MG
Meu Prata Supermercados Ltda.,MG
Irmãos Muffato S.A.,PR
Cia. Beal de Alimentos,PR
Supermercado Jacomar Ltda.,PR
Batista & Izepe Ltda.,PR
GCA - Distribuidora Comercial de Alimentos Ltda.,PR
Sanches & Vecchiate Ltda.,PR
Supermercados Bavaresco Ltda.,PR
Grupo Irani Ltda.,PR
Agricer Distribuidora e Comercial de Prod. Alim. Ltda.,PR
Comercial de Secos e Molhados Dal Pozzo Ltda.,PR
J. Martins Supermercado Planalto Ltda.,PR
Allmayer Supermercado Ltda.,PR
Mig Atacado e Varejo Ltda.,PR
Lar Cooperativa Agroindustrial,PR
Casa Viscardi S.A. Comércio Importação,PR
Copacol Cooperativa Agroindustrial Consolata,PR
C.Vale Cooperativa Agroindustrial,PR
Companhia Zaffari Comércio e Indústria,RS
Comercial Zaffari Ltda.,RS
Unidasul Distribuidora Alimentícia S.A.,RS
Importadora e Exportadora de Cereais S.A.,RS
Asun Comércio de Gêneros Alimentícios Ltda.,RS
Master ATS Supermercado Ltda.,RS
Peruzzo Supermercado Ltda.,RS
Libraga Brandão & Cia Ltda.,RS
Supermercado Guanabara S.A.,RS
Osmar Nicolini Comércio e Distribuição S.A.,RS
Righi Comércio de Gêneros Alimentícios Ltda.,RS
Supermercado Baklizi Ltda.,RS
Cotripal Agropecuária Cooperativa,RS
Formenton S.A.,RS
Treichel Macromercado Ltda.,RS
Macamo Alimentos - Eireli,RS
Max Center Centro de Compras Ltda.,RS
Cooperativa Triticola Sarandi Ltda.,RS
Cooperativa Triticola Santa Rosa Ltda.,RS
Benedetti e Benedetti Ltda.,RS
Grupo JC/Costa Atacadão,GO
Comercial Reis Ltda.,GO
Supervi Distribuidor de Alimentos Ltda.,GO
Supermercado Pro Brasil Ltda.,GO
G.S. Comércio de Produtos Alimentícios Ltda.,GO
Koch Hipermercado S.A.,SC
Giassi e Cia Ltda.,SC
Angeloni,SC
Mundialmix Comércio de Alimentos Ltda.,SC
Passarela Center Ltda.,SC
Gtop Distribuição Ltda.,SC
Supermercado Archer S.A.,SC
Superviza Supermercados Ltda.,SC
Supermercado Carol Ltda.,SC
Comercial Celeiro Ltda.,SC
Hiper Select Supermercados Ltda.,SC
Althoff Supermercados Ltda.,SC
Supermercado Manentti Ltda.,SC
Unibox Dinardelli Comércio e Distribuição Ltda.,SC
Brasao Supermercado S.A.,SC
Irmãos Zat Ltda.,SC
Torre e Cia. Supermercados S.A.,RJ
Supermercados Alvorada Ltda.,RJ
Costazul Alimentos,RJ
Naomi Comércio Alimentos Ltda.,RJ
Supermercado Vianense Ltda.,RJ
Supermercado Pepão Ltda.,RJ
Germans Distribuidora Comestíveis Ltda.,RJ
Atlas de Iguaçú Distribuidora de Alimentos Ltda.,RJ
Pax Supermercados Ltda.,RJ
Armazém do Grão Ltda.,RJ
Supermercado Real de Niterói Ltda.,RJ
Floresta Comércio e Indústria S.A.,RJ
Atacadão Dia a Dia S.A.,DF
Centro Oeste Comercial de Alimentos Ltda.,DF
São Cristovão Investimentos e Participações S.A.,DF
Comercial Alim. Ita Ltda.,DF
Comercial de Alimentos Superbom Ltda.,DF
E de Casa Supermercado,DF
Atakarejo Distribuidor de Alimentos e Bebidas S.A.,BA
Rmix Comércio de Gêneros Alimentícios Ltda.,BA
Hiperideal Empreendimentos Ltda.,BA
Comercial de Alimentos Gilmar Ltda.,BA
R.F Atacado de Alimentos S.A.,BA
Novo Mix Atacado de Alimentos Ltda.,BA
Distribuidora de Alimentos Fartura S.A.,CE
Supermercado Cometa Ltda.,CE
Âncora Distribuidora de Alimentos Ltda.,CE
Bom Vizinho Distribuidora de Alimentos Ltda.,CE
Centerbox Supermercados Ltda.,CE
MWN Comercial de Alim. Ltda.,CE
Diniz Supermercados Ltda.,CE
Supermercado Moranguinho Ltda.,CE
Supermercado Nordestão Ltda.,RN
Supermercado Queiroz Ltda.,RN
Nosso Atacarejo Comércio de Gêneros Alimentícios Ltda.,RN
Comercial Praias Belas Ltda.,RN
J.L. de Medeiros & Araújo Ltda.,RN
Lider Comércio e Indústria Ltda.,PA
Formosa Supermercados & Magazine Ltda.,PA
Grupo Preço Baixo Ltda.,PA
Economico Comércio de Alimentos Ltda.,PA
Rede Supermercado Mais Barato Ltda.,PA
Casa Santa Ltda.,PA
RMC Comércio de Alimentos Ltda.,PI
Distribuição de Alimentos Vanguarda S.A.,PI
FM Ferreira de Sousa Ltda.,PI
Jorge Batista & Cia Ltda.,PI
Gomes Paixão & Cia Ltda.,PB
Farias Supermercados,PB
Rede Menor Preço Supermercado Ltda.,PB
ABV Com. de Alim. Ltda.,MS
S Pires Comércio de Alimentos Ltda.,MS
VRA Comércio Ltda.,MS
Nova Estrela Comércio de Alimentos S.A.,MS
Del Moro & Del Moro Ltda.,MT
Juba Supermercado Ltda.,MT
Realmar Distr Ltda.,ES
Locatelli Supermercados e Serviços Ltda.,ES
A.C.D.A Importação e Exportação Ltda.,AC
L & G Alimentos do Brasil Ltda.,AC
Unicompra Supermercados Ltda.,AL
Leite & Paranhos Ltda.,AL
M.A. Silva e Silva Ltda.,AP
A.R. Filho & Cia Ltda.,AP
Quartetto Supermercados Ltda.,TO
