username,seguidores,alcance_min,alcance_max,status
eusoupedro_henrique,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22eusoupedro_henrique%22%7D&doc_id=26347858941511777&server_timestamps=true
arantesdanielly,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22arantesdanielly%22%7D&doc_id=26347858941511777&server_timestamps=true
dranayaracastro,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22dranayaracastro%22%7D&doc_id=26347858941511777&server_timestamps=true
dayanealho,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22dayanealho%22%7D&doc_id=26347858941511777&server_timestamps=true
recameneses,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22recameneses%22%7D&doc_id=26347858941511777&server_timestamps=true
virginiasuassuna,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22virginiasuassuna%22%7D&doc_id=26347858941511777&server_timestamps=true
tiapriodonto,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22tiapriodonto%22%7D&doc_id=26347858941511777&server_timestamps=true
camipiresveg,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22camipiresveg%22%7D&doc_id=26347858941511777&server_timestamps=true
reginabritomanicure,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22reginabritomanicure%22%7D&doc_id=26347858941511777&server_timestamps=true
dicasdealine_,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22dicasdealine_%22%7D&doc_id=26347858941511777&server_timestamps=true
dercileneebm,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22dercileneebm%22%7D&doc_id=26347858941511777&server_timestamps=true
daysousapersonal,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22daysousapersonal%22%7D&doc_id=26347858941511777&server_timestamps=true
marcosplinsken,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22marcosplinsken%22%7D&doc_id=26347858941511777&server_timestamps=true
